created_at,text
Mon Oct 26 01:31:28 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:30 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:31 +0000 2020,"RT @Rconstantino: OMS, puxadinho do regime chinês, não quer foco na origem da vacina, em clara defesa ao “chefe”; e no Brasil o PCC tem ass…"
Mon Oct 26 01:31:31 +0000 2020,@jdoriajr Desmentido o aprendiz de ditador chinês. Por educação @anvisa_oficial recebe comitiva do Governo de SP. N… https://t.co/sBucATNpkY
Mon Oct 26 01:31:32 +0000 2020,"RT @gabsrotta: pessoal impressionando com o aumento do casos na europa 

gente nós não temos uma vacina pra isso ainda e a maior prevenção…"
Mon Oct 26 01:31:32 +0000 2020,@jdoriajr Quem está  negando  o que imbecil? Quando houver uma vacina aprovada e segura vai estar disponível  a tod… https://t.co/DRJ8VVq8uE
Mon Oct 26 01:31:33 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:31:34 +0000 2020,vocês preferem tirar sangue ou tomar vacina?
Mon Oct 26 01:31:34 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:31:34 +0000 2020,RT @diogo4435: Só peço a vacina contra o vírus para que finalmente possa voltar a viver normalmente 🙏🏼
Mon Oct 26 01:31:35 +0000 2020,"RT @Luis_R_Oficial: Se o vírus veio da China e funciona, por que a vacina não funcionaria? 

Dilma Rousseff

#DoriaVaiCair"
Mon Oct 26 01:31:37 +0000 2020,Amanhã tenho q levar o Lorenzo sem falta p tomar vacina e pegar o exame dele
Mon Oct 26 01:31:38 +0000 2020,"RT @MajorVitorHugo: Qdo vejo a dupla @jdoriajr e @RodrigoMaia agindo na mesma direção - nesse momento, no q tange à vacina - enxergo o pior…"
Mon Oct 26 01:31:38 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:38 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:39 +0000 2020,"RT @_fidelcatto: Cena linda demais, presidente @jairbolsonaro por favor libere a vacina pros apaixonados 😍 https://t.co/s5y0kyhEsb"
Mon Oct 26 01:31:39 +0000 2020,"RT @Felipeaveiga: @augustosnunes @gisapatriamada No dia 20/10/2020 o Senado aprovou a nova diretoria da Anvisa, os que saem aproveitam para…"
